
          Welcome to the Rectangle Wizard           
  This program will compute the area and perimeter  
       of rectangles from the length and width      
            of each, as per your input.             

Please enter the length and width of 1000 rectangles
in the form of length, width (number comma number)
- one pair on each line


The properties of the rectangle(s) are:

Rectangle #      Length       Width   Perimeter        Area
------------------------------------------------------------
          1          87          84         342        7308
          2          16          78         188        1248
          3          36          94         260        3384
          4          93          87         360        8091
          5          22          50         144        1100
          6          28          63         182        1764
          7          60          91         302        5460
          8          27          64         182        1728
          9          27          41         136        1107
         10          37          73         220        2701
         11          69          12         162         828
         12          30          68         196        2040
         13          31          83         228        2573
         14          24          63         174        1512
         15          36          68         208        2448
         16           3          30          66          90
         17          59          23         164        1357
         18          68          70         276        4760
         19          57          94         302        5358
         20          43          12         110         516
         21          74          30         208        2220
         22          20          22          84         440
         23          38          85         246        3230
         24          25          99         248        2475
         25          71          16         174        1136
         26          27          14          82         378
         27          81          92         346        7452
         28          74          57         262        4218
         29          71          63         268        4473
         30          82          97         358        7954
         31          26           6          64         156
         32          28          85         226        2380
         33           6          37          86         222
         34          30          47         154        1410
         35          58          14         144         812
         36          96          25         242        2400
         37          46          83         258        3818
         38          68          15         166        1020
         39          65          35         200        2275
         40          51          44         190        2244
         41           9          88         194         792
         42          79          77         312        6083
         43          85          89         348        7565
         44          52           4         112         208
         45         100          55         310        5500
         46          61          33         188        2013
         47          69          77         292        5313
         48          13          40         106         520
         49          87          27         228        2349
         50          40          95         270        3800
         51          71          96         334        6816
         52          79          35         228        2765
         53           2          68         140         136
         54           3          98         202         294
         55          93          18         222        1674
         56          57          53         220        3021
         57          81           2         166         162
         58          42          87         258        3654
         59          90          66         312        5940
         60          20          45         130         900
         61          30          41         142        1230
         62          18          32         100         576
         63          72          98         340        7056
         64          76          82         316        6232
         65          28          10          76         280
         66          57          68         250        3876
         67          54          98         304        5292
         68          66          87         306        5742
         69          84           7         182         588
         70          25          20          90         500
         71          72          29         202        2088
         72          30          33         126         990
         73          20           4          48          80
         74          69          71         280        4899
         75          16           9          50         144
         76          50          41         182        2050
         77          24          97         242        2328
         78          46          19         130         874
         79          52          47         198        2444
         80          56          22         156        1232
         81          89          80         338        7120
         82          29          65         188        1885
         83          51          42         186        2142
         84           1          94         190          94
         85          65          35         200        2275
         86          15          25          80         375
         87          57          88         290        5016
         88          92          44         272        4048
         89          66          28         188        1848
         90          37          60         194        2220
         91          52          33         170        1716
         92          29          38         134        1102
         93           8          76         168         608
         94          22          75         194        1650
         95          96          59         310        5664
         96          38          30         136        1140
         97          94          36         260        3384
         98          29          19          96         551
         99          12          44         112         528
        100          30          29         118         870
        101           5          77         164         385
        102          64          44         216        2816
        103          39          14         106         546
        104          41           7          96         287
        105          19           5          48          95
        106          89          29         236        2581
        107          18          70         176        1260
        108          97          18         230        1746
        109          44          25         138        1100
        110          84          71         310        5964
        111         100          91         382        9100
        112          26          73         198        1898
        113          91          45         272        4095
        114          40           6          92         240
        115          87          55         284        4785
        116          83          70         306        5810
        117          65          43         216        2795
        118           8          98         212         784
        119           5          56         122         280
        120          12          49         122         588
        121          29          23         104         667
        122          44         100         288        4400
        123          69          47         232        3243
        124          23          41         128         943
        125          11          12          46         132
        126           2           6          16          12
        127          31          62         186        1922
        128           6          79         170         474
        129          37          21         116         777
        130          27          45         144        1215
        131          66          23         178        1518
        132          17           9          52         153
        133          59          83         284        4897
        134          38          25         126         950
        135          25          63         176        1575
        136          37           1          76          37
        137         100          53         306        5300
        138          51          80         262        4080
        139          72          69         282        4968
        140          32          74         212        2368
        141          31          82         226        2542
        142          95          34         258        3230
        143          64          61         250        3904
        144          82         100         364        8200
        145          97         100         394        9700
        146          74          60         268        4440
        147          69          14         166         966
        148          96          91         374        8736
        149          67          27         188        1809
        150          41          85         252        3485
        151          85          91         352        7735
        152          43          77         240        3311
        153           8          37          90         296
        154          57          46         206        2622
        155          19          80         198        1520
        156          13          88         202        1144
        157          73          49         244        3577
        158          10          60         140         600
        159          11          37          96         407
        160          88          43         262        3784
        161           2           7          18          14
        162          73          14         174        1022
        163          56          22         156        1232
        164         100          20         240        2000
        165           5          22          54         110
        166          12          40         104         480
        167          68          41         218        2788
        168          29           6          70         174
        169          51          28         158        1428
        170          59          85         288        5015
        171          25          21          92         525
        172          70          23         186        1610
        173          82          97         358        7954
        174          85          31         232        2635
        175          73          93         332        6789
        176          51          73         248        3723
        177          86          26         224        2236
        178         100          23         246        2300
        179          43          41         168        1763
        180          14          99         226        1386
        181          91          99         380        9009
        182          91          25         232        2275
        183          82          10         184         820
        184          37          20         114         740
        185          56          33         178        1848
        186           5          95         200         475
        187          70          80         300        5600
        188          77          74         302        5698
        189          56          51         214        2856
        190          43          61         208        2623
        191          85          80         330        6800
        192           6          94         200         564
        193          68          22         180        1496
        194          14           5          38          70
        195          55          62         234        3410
        196          60          27         174        1620
        197           3          45          96         135
        198           7           3          20          21
        199          22          85         214        1870
        200          69          43         224        2967
        201          90          29         238        2610
        202           9          73         164         657
        203          99          59         316        5841
        204           9          37          92         333
        205          49          54         206        2646
        206          34           4          76         136
        207          49          34         166        1666
        208          55          91         292        5005
        209          47          68         230        3196
        210          30          69         198        2070
        211          47           1          96          47
        212          98          89         374        8722
        213          91          50         282        4550
        214          34           4          76         136
        215          98          64         324        6272
        216          93          54         294        5022
        217          26          87         226        2262
        218          97          53         300        5141
        219          89          76         330        6764
        220          30          58         176        1740
        221          61          37         196        2257
        222          22          15          74         330
        223           5          61         132         305
        224          28          29         114         812
        225          49          51         200        2499
        226           3          57         120         171
        227          98          95         386        9310
        228          44         100         288        4400
        229           3          40          86         120
        230           4          29          66         116
        231          82           1         166          82
        232          39          48         174        1872
        233          52          60         224        3120
        234          35          36         142        1260
        235          93          40         266        3720
        236          28          16          88         448
        237          30           5          70         150
        238          65          50         230        3250
        239          30          86         232        2580
        240          36          44         160        1584
        241           1          78         158          78
        242          72          39         222        2808
        243          90          50         280        4500
        244          89          68         314        6052
        245          96          93         378        8928
        246          45          44         178        1980
        247          91          30         242        2730
        248          41          83         248        3403
        249          70          42         224        2940
        250          33          27         120         891
        251          43          62         210        2666
        252          18          61         158        1098
        253          62          24         172        1488
        254          10          82         184         820
        255          26          91         234        2366
        256          68          97         330        6596
        257          35          78         226        2730
        258          27          91         236        2457
        259          58          25         166        1450
        260          69          15         168        1035
        261          59           6         130         354
        262          87          13         200        1131
        263          47           1          96          47
        264          95          27         244        2565
        265          53          17         140         901
        266          30          79         218        2370
        267          91          47         276        4277
        268          71          48         238        3408
        269          81          52         266        4212
        270          94          32         252        3008
        271          28          58         172        1624
        272          87          13         200        1131
        273          56          15         142         840
        274          91          13         208        1183
        275          80          13         186        1040
        276          70          11         162         770
        277          75          90         330        6750
        278          42          56         196        2352
        279          34          21         110         714
        280          89          88         354        7832
        281          67          39         212        2613
        282          85          71         312        6035
        283          18          57         150        1026
        284          61           7         136         427
        285          38          50         176        1900
        286          60           6         132         360
        287          19          18          74         342
        288          84          46         260        3864
        289          59          74         266        4366
        290          38          74         224        2812
        291          84          90         348        7560
        292          79           8         174         632
        293          15          58         146         870
        294          30          72         204        2160
        295          60           1         122          60
        296          39          19         116         741
        297          89          26         230        2314
        298          34          75         218        2550
        299          82          58         280        4756
        300          59          94         306        5546
        301         100          71         342        7100
        302          40          18         116         720
        303          64          70         268        4480
        304          95          23         236        2185
        305          48          74         244        3552
        306          63          32         190        2016
        307          91          83         348        7553
        308          92          93         370        8556
        309          16          58         148         928
        310          58          22         160        1276
        311          92          75         334        6900
        312          52          48         200        2496
        313          22          32         108         704
        314          41          38         158        1558
        315          31          55         172        1705
        316          26          99         250        2574
        317          17          82         198        1394
        318           3          17          40          51
        319          40          32         144        1280
        320           5          97         204         485
