#
# Fill points for us-1024px.png
#
Alabama:714,471
Alaska:128,560;210,636;183,615;40,545;45,549;48,585;10,645;14,644;23,644;105,631;110,622
Arizona:218,409
Arkansas:591,427
California:75,326;51,388;59,389;57,388;78,408;79,409;81,411;76,421
Colorado:343,323
Connecticut:938,215
Delaware:902,287
D.C.:873,294
Florida:822,544;808,577;843,647;845,646
Georgia:776,472
Hawaii:255,584;256,583;269,579;303,594;328,602;322,601;329,610;341,611;362,640
Idaho:206,161
Illinois:652,295
Indiana:709,297
Iowa:567,254
Kansas:486,337
Kentucky:739,346
Louisiana:588,518;610,522
Maine:966,99;985,136;992,130
Maryland:833,285;849,279;876,283;895,308;896,311
Massachusetts:939,190;981,194;973,208;984,207
Michigan:721,212;699,169;655,144;723,145;730,144;636,107;640,106;642,104;643,103;644,102
Minnesota:549,152
Mississippi:643,473
Missouri:579,333
Montana:276,116
Nebraska:453,266
Nevada:145,246
New Hampshire:943,162
New Jersey:915,256
New Mexico:323,419
New York:886,189;929,235
North Carolina:853,377;906,387
North Dakota:440,123
Ohio:764,280
Oklahoma:484,411
Oregon:96,145
Pennsylvania:844,251
Rhode Island:954,207
South Carolina:820,425
South Dakota:446,192
Tennessee:707,394
Texas:461,515
Utah:233,296
Vermont:921,154
Virginia:852,335;903,322
Washington:127,72;92,35;96,34;96,38;97,43;98,42
West Virginia:806,309;802,268
Wisconsin:628,185
Wyoming:327,219
